cluster_id,iom_site_id,iom_site_name,iom_site_type,iom_site_ward,region,adm1_name,adm2_name,latitude,longitude,caseload_hh,n_other_sites_in_hex,certainty_stratum,buffer_radius_m,surrounding_pop,surrounding_pop_hh,density_pop_per_km2,density_hh_per_km2,density_flag_p90,density_flag_p95,caseload_flag_150,caseload_flag_200,density_flag_default,caseload_flag_default,combined_flag_default,combined_flag_both_p90_150,combined_flag_either_p95_200,combined_flag_both_p95_200
idp_NG026011_1,NW_H280,Ungwan Tiv,IDPs dispersed in Host Communities,Gidan Ausa Ii,NC,Nasarawa,Obi,8.390530002048536,8.559129968131947,51,0,FALSE,750,2942.156494140625,490.3594156901042,1664.9199978396498,277.4866663066083,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG008027_8,BO_H383,Kurara,Host Community,Kwaba,NE,Borno,Shani,10.184470006418069,11.962739965120903,25,0,FALSE,750,2919.798095703125,486.6330159505208,1652.2677324851743,275.3779554141957,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG020011_3,KN_H211,Ririwai,IDPs dispersed in Host Communities,Ririwai,NW,Kano,Doguwa,10.743120006619256,8.73840996804629,28,0,FALSE,750,2917.44287109375,486.240478515625,1650.934947992112,275.15582466535204,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG008012_5,BO_H123,Vinadam,Host Community,Dzar/ Vinadum/ Birni/ Dlandi,NE,Borno,Hawul,10.587520007292936,12.053319965070518,83,0,FALSE,750,2913.032470703125,485.5054117838542,1648.439171909686,274.73986198494765,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG002006_9,AD_H511,Anguwan Sini,Host Community,Chikila,NE,Adamawa,Guyuk,9.784770005555911,11.910549965145512,114,0,FALSE,750,2893.230224609375,482.2050374348958,1637.233392886957,272.87223214782614,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG008006_2,BO_H088,Tsathla,Host Community,Shikarkir,NE,Borno,Chibok,10.849140008070467,12.775299964465884,31,0,FALSE,750,2890.982666015625,481.8304443359375,1635.9615348955472,272.66025581592453,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG008018_1,BO_REL006,Sabon Gari,Relocated Sites,Kwaya Kusar,NE,Borno,Kwaya Kusar,10.492910007030444,11.83642996525291,43,1,FALSE,750,2883.099365234375,480.5165608723958,1631.5004992076676,271.9167498679446,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG002015_16,AD_H329,Muppa,Host Community,Gella,NE,Adamawa,Mubi South,10.155490006726357,13.302509963958975,19,3,FALSE,750,2877.1630859375,479.5271809895833,1628.1412522968349,271.3568753828058,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG021009_10,KT_H348,Bakin Kasuwa,IDPs dispersed in Host Communities,Tandama,NW,Katsina,Danja,11.442080007486854,7.440479969310049,24,2,FALSE,750,2866.07666015625,477.679443359375,1621.8676186459643,270.31126977432734,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG032013_1,PL_H098,Chip,IDPs dispersed in Host Communities,Chip,NC,Plateau,Pankshin,9.190555003766042,9.363403967397923,7,0,FALSE,750,2850.317626953125,475.0529378255208,1612.949830085514,268.82497168091896,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG019008_5,KD_INT030,Ungwan Ate,IDPs Integrated,Kachia Urban,NW,Kaduna,Kachia,9.898519004829987,7.955189968705313,93,3,FALSE,750,2844.7216796875,474.1202799479167,1609.7831717082488,268.29719528470815,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG027019_2,NI_H010,Anguwan Dan Galadima,IDPs dispersed in Host Communities,Adunu,NC,Niger,Paikoro,9.576733404057974,7.161227769424177,13,1,FALSE,750,2833.15869140625,472.193115234375,1603.2398588482504,267.206643141375,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG020037_1,KN_H048,Huguma,IDPs dispersed in Host Communities,Kachako,NW,Kano,Takai,11.543641008302297,9.318957967604328,71,0,FALSE,750,2821.91552734375,470.3192545572917,1596.8775294738857,266.1462549123143,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG021023_1,KT_H436,Gidan Mutum Daya,IDPs dispersed in Host Communities,Yashe 'B',NW,Katsina,Kusada,12.35621000924039,7.90066996901616,51,0,FALSE,750,2790.199951171875,465.0333251953125,1578.9301846889562,263.1550307814927,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG026001_3,NW_H110,Ungwan Azare,IDPs dispersed in Host Communities,Moroa,NC,Nasarawa,Akwanga,9.024610003223517,8.201790968454382,5,2,FALSE,750,2783.76025390625,463.9600423177083,1575.2860614824156,262.54767691373587,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG026001_7,NW_H105,Nunku Kasuwa,IDPs dispersed in Host Communities,Nunku,NC,Nasarawa,Akwanga,9.137286003477657,8.404246968270167,9,0,FALSE,750,2771.20556640625,461.8675944010417,1568.1815616616188,261.36359361026985,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG008006_3,BO_INT010,Mboa,Integrated Sites,Chibok Wuntaku,NE,Borno,Chibok,10.90738000821269,12.831769964422604,85,0,FALSE,750,2767.2734375,461.2122395833333,1565.9564318756484,260.99273864594136,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG002021_10,AD_INT006,Hullere,Integrated Sites,Jambutu,NE,Adamawa,Yola South,9.297870004619543,12.403239964700056,84,0,FALSE,750,2766.59619140625,461.099365234375,1565.5731889831684,260.9288648305281,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG021025_1,KT_H160,Sabon Layi,IDPs dispersed in Host Communities,Karfi,NW,Katsina,Malumfashi,11.73350000803176,7.545129969250695,57,2,FALSE,750,2724.6962890625,454.1160481770833,1541.8626945011222,256.977115750187,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG021029_13,KT_H438,Gabas 2,IDPs dispersed in Host Communities,Kurkujan 'A',NW,Katsina,Musawa,12.09409700873863,7.770090969094994,35,0,FALSE,750,2664.14111328125,444.0235188802083,1507.5954747486437,251.26591245810727,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG019015_6,KD_INT035,Gajagaja,IDPs Integrated,Karreh,NW,Kaduna,Kubau,10.763430006565333,8.423389968335714,6,1,FALSE,750,2660.266845703125,443.3778076171875,1505.4030877764862,250.9005146294144,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG002006_1,AD_H505,Anguwan Waja 1,Host Community,Dumna,NE,Adamawa,Guyuk,9.652210005255403,11.83701996520459,100,2,FALSE,750,2660.13916015625,443.3565266927083,1505.3308325375654,250.88847208959422,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG002010_12,AD_H226,Vapura,Host Community,Shelmi / Sukur/ Vapura,NE,Adamawa,Madagali,10.874750008379666,13.557649963796626,60,1,FALSE,750,2660.0771484375,443.34619140625,1505.2957410830988,250.8826235138498,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
idp_NG021030_1,KT_H265,Unguwan Nambarimi,IDPs dispersed in Host Communities,Rimi,NW,Katsina,Rimi,12.837986009966798,7.673551969309288,30,0,FALSE,750,2650.83740234375,441.8062337239583,1500.067114367599,250.01118572793314,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
