State,LGA,Partners covering,Total wards (LGA-scoped portions),Wards reported inaccessible,% of wards inaccessible (by count),"% of target HHs inaccessible (by ward, weighted)",Reported by (across all wards),Most recent report date (across all wards),Non-IDP: population (n_pop),Non-IDP: N_hh,Non-IDP: realized MoE %,IDP: population (n_pop),IDP: N_hh,IDP: realized MoE %
Adamawa,Yola South,NRC,12,0,0.0,0.0,Partner,2026-08-25,471590.6862640381,78598.44771067302,9.28,18746,3305,9.14
Benue,Agatu,CRS,10,0,0.0,0.0,Not yet reported,,67293.50702667236,11215.584504445394,9.2,27830,4892,9.19
Benue,Gwer West,CRS,11,0,0.0,0.0,Not yet reported,,94482.7572402954,15747.126206715902,9.25,50655,11197,9.24
Benue,Logo,CRS,12,0,0.0,0.0,Not yet reported,,265414.4652366638,44235.744206110634,9.27,34214,5984,9.21
Borno,Bama,PLAN,9,0,0.0,0.0,Partner,,315418.78089904785,52569.79681650797,9.1,111144,36244,9.27
Borno,Dikwa,Street Child of Nigeria,9,0,0.0,0.0,Not yet reported,,135424.10023498535,22570.68337249756,9.09,109091,21741,9.26
Borno,Gwoza,NRC,9,0,0.0,0.0,Partner,2026-08-25,270687.35218811035,45114.558698018394,9.23,161897,31273,9.27
Borno,Jere,NRC,16,0,0.0,0.0,Partner,2026-08-25,1119531.816045761,186588.6360076269,9.28,262084,57906,9.28
Borno,Kaga,FACT,11,0,0.0,0.0,Partner,2026-04-09,145622.51853179932,24270.419755299885,9.27,24885,4701,9.18
Borno,Kala/Balge,PLAN,8,0,0.0,0.0,Partner,,45646.65709686279,7607.776182810466,9.13,41059,10983,9.24
Borno,Konduga,NRC,9,0,0.0,0.0,Partner,2026-08-25,319246.06648254395,53207.67774709066,9.14,73818,14702,9.25
Borno,Kwaya Kusar,FACT,10,0,0.0,0.0,Partner,2026-04-09,126387.11776733398,21064.519627888996,9.26,5722,709,8.91
Borno,Magumeri,INTERSOS,11,0,0.0,0.0,Partner,,346925.44622802734,57820.90770467123,9.28,38166,7621,9.22
Borno,Maiduguri,INTERSOS,17,0,0.0,0.0,Partner,,1796737.5993652344,299456.2665608724,9.28,196014,35641,9.27
Borno,Monguno,Street Child of Nigeria,7,0,0.0,0.0,Not yet reported,,205049.8247871399,34174.97079785665,9.18,146298,41540,9.27
Borno,Ngala,CARE,8,0,0.0,0.0,Not yet reported,,45467.43813705444,7577.90635617574,9.22,47965,11326,9.24
Kaduna,Jema'a,COOPI,12,0,0.0,0.0,Partner,,312479.9677658081,52079.99462763468,9.28,2447,440,8.83
Kaduna,Zaria,COOPI,13,0,0.0,0.0,Partner,,646389.6385593414,107731.6064265569,9.28,556,121,8.63
Katsina,Batagarawa,IRC,12,0,0.0,0.0,Partner,,299857.46466064453,49976.24411010742,9.28,9661,1351,9.23
Katsina,Charanchi,CARE,11,0,0.0,0.0,Not yet reported,,221895.2792816162,36982.546546936035,9.27,4004,598,9.12
Katsina,Dutsi,FACT,11,0,0.0,0.0,Partner,2026-04-09,210378.75128173828,35063.12521362305,9.27,1240,185,9.28
Katsina,Jibia,IRC,11,0,0.0,0.0,Partner,,97991.82145881651,16331.970243136087,9.26,1679,238,8.72
Katsina,Katsina,COOPI,14,0,0.0,0.0,Partner,,595731.9309082031,99288.6551513672,9.28,14313,1980,9.04
Katsina,Mai'adua,Save the Children,14,0,0.0,0.0,Needs review; Partner,2026-08-28,232853.2964477539,38808.88274129232,9.27,795,122,8.67
Katsina,Mashi,Malteser,12,0,0.0,0.0,Partner,2026-09-02,250008.55833816528,41668.09305636088,9.27,861,123,8.7
Katsina,Sandamu,MDM,12,0,0.0,0.0,Not yet reported,,234458.68725585935,39076.44787597656,9.27,2981,364,8.99
Katsina,Zango,Save the Children,10,0,0.0,0.0,Needs review; Partner,2026-08-28,142228.3740081787,23704.729001363117,9.26,,,
Kebbi,Argungu,CARE,10,0,0.0,0.0,Not yet reported,,250058.90236663815,41676.48372777303,9.27,,,
Kebbi,Birnin Kebbi,CARE,10,0,0.0,0.0,Not yet reported,,604040.1491966248,100673.35819943744,9.28,,,
Kebbi,Gwandu,Solidarités,12,0,0.0,0.0,Partner,,177247.8257675171,29541.30429458618,9.27,108,21,NA
Kebbi,Koko/Besse,CRS,9,0,0.0,0.0,Not yet reported,,220617.5333251953,36769.588887532555,9.27,,,
Kebbi,Suru,CARE,12,0,0.0,0.0,Not yet reported,,216020.28007125857,36003.38001187643,9.27,,,
Kebbi,Zuru,IRC; LHI,11,0,0.0,0.0,Partner,,313475.44707489014,52245.907845815025,9.28,,,
Nasarawa,Akwanga,CARE,10,0,0.0,0.0,Not yet reported,,216097.24271011353,36016.20711835226,9.27,722,122,8.67
Nasarawa,Awe,CARE,9,0,0.0,0.0,Not yet reported,,184505.57892417908,30750.92982069651,9.27,2342,461,8.88
Nasarawa,Keana,CARE,12,0,0.0,0.0,Not yet reported,,77168.24851989746,12861.374753316244,9.25,2857,609,9.13
Nasarawa,Kokona,CARE,12,0,0.0,0.0,Not yet reported,,215165.6350402832,35860.93917338053,9.27,592,112,8.29
Nasarawa,Lafia,CARE,13,0,0.0,0.0,Not yet reported,,602955.2499828339,100492.54166380563,9.28,3411,694,8.89
